Participant_ID,time_head,error_rate_head,MT(1d)_head,a(1d)_head,b(1d)_head,r(1d)_head,MT(2d)_head,a(2d)_head,b(2d)_head,r(2d)_head,time_gesture,error_rate_gesture,MT(1d)_gesture,a(1d)_gesture,b(1d)_gesture,r(1d)_gesture,MT(2d)_gesture,a(2d)_gesture,b(2d)_gesture,r(2d)_gesture
1,"2,481.92",0.22,"2182,629 + 102,0821",2182.629,102.0821,0.3694,"2072,2948 + 171,9763",2072.2948,171.9763,0.4623,4932.5833,0.2222,"5832,9747 + -374,9635",5832.9747,-374.9635,-0.2194,"2072,2948 + 171,9763",2072.2948,171.9763,0.4623
2,"2,339.08",0.03,"2148,3905 + 55,6958",2148.3905,55.6958,0.1862,"2314,8913 + 8,5179",2314.8913,8.5179,0.0214,5434,0.25,"5980,7068 + -206,6153",5980.7068,-206.6153,-0.1079,"5729,7024 + -133,8756",5729.7024,-133.8756,-0.0633
3,"2,959.50",0.42,"3323,0255 + -149,6364",3323.0255,-149.6364,-0.1576,"3605,0958 + -339,5728",3605.0958,-3395728,-1986,11327.4167,0.2222,"9270,3173 + 784,1062",9270.3173,784.1062,0.1439,"12951,078 + -782,4566",12951.078,-782.4566,-0.0976
4,"2,511.58",0.39,"2539,1073 + -11,3372",2539.1073,-11.3372,-0.0262,"2613,1777 + -51,5793",2613.1777,-515793,-681,13502.25,0.3611,"13808,447 + -136,5591",13808.447,-136.5591,-0.0083,"6905,106 + 3567,353",6905.106,3567.353,0.1132
5,"2,525.00",0.33,"2001,2147 + 162,7134",2001.2147,162.7134,0.4313,"1425,5041 + 582,9521",1425.5041,582.9521,0.7222,13122.5,0.1944,"-5289,4062 + 6607,4266",-5289.4062,6607.4266,0.589,"1940,3763 + 5013,3312",1940.3763,5013.3312,0.4963
6,"2,980.92",0.64,"3063,5676 + -39,1098",3063.5676,-39.1098,-0.1063,"2877,3814 + 74,952",2877.3814,74.952,0.1291,7287.75,0.2778,"8713,7521 + -508,7271",8713.7521,-508.7271,-0.3234,"7370,9228 + -39,779",7370.9228,-39.779,-0.021
7,"3,044.92",0.47,"2847,3502 + 82,379",2847.3502,82.379,0.2392,"2863,6591 + 90,4032",2863.6591,90.403,0.223,12912.3333,0.3056,"13057,8717 + -56,3351",13057.8717,-56.3351,-0.0175,"10892,3976 + 1034,0186",10892.3976,1034.0186,0.1699
8,"2,717.33",0.28,"2526,3102 + 77,2864",2526.3102,77.2864,0.1996,"2282,1767 + 205,8881",2282.1767,205.8881,0.393,8774.75,0.0278,"11516,318 + -925,1125",11516.318,-925.1125,-0.2311,"14853,2433 + -2490,6875",14853.2433,-2490.6875,-0.4042
9,"4,930.67",0.17,"2228,227 + 859,287",2228.227,859.287,0.6056,"4042,213 + 355,8191",4042.213,355.8191,0.1665,12950.8333,0.4583,"10606,0696 + 838,2861",10606.0696,83.2861,0.3485,"10659,92 + 1583,0076",10659.92,1583.0076,0.3276
10,"3,575.00",0.17,"6866,218 + -772,4897",6866.218,-772.4897,-0.6909,"2132,4451 + 448,2973",2132.4451,448.2973,0.4543,6234,0.3333,"7493,5382 + -401,9188",7493.5382,-401.9188,-0.9997,"7688,0324 + -653,185",7688.0324,-653.185,-0.9231
11,"3,766.67",0.67,"3817,0557 + -33,6721",3817.0557,-33.6721,-0.0707,"3679,0521 + 67,9739",3679.0521,67.9739,0.1204,11747.6667,0.1667,"2949,9246 + 2304,993",2949.9246,2304.993,0.7074,"3686,3764 + 4040,8812",3686.3764,4040.8812,0.1881
12,"2,877.33",0.17,"3354,7114 + -164,639",3354.7114,-164.639,-0.7402,"3377,7786 + -196,916",3377.7786,-196916,-681,5011.3333,0.1667,"1842,2503 + 1304,2085",1842.2503,1304.2085,0.9951,"1629,9598 + 1537,4437",1629.9598,1537.4437,0.9993
13,"2,968.67",0.17,"2067,8979 + 209,9938",2067.8979,209.9938,0.9695,"1477,0899 + 546,7982",1477.0899,546.7982,0.6172,6647,0.3333,"4480,8849 + 611,1198",4480.8849,611.1198,0.8993,"4673,6907 + 888,1841",4673.6907,888.1841,0.9931
14,"4,986.00",0.33,"5067,9593 + -52,7878",5067.9593,-52.7878,-0.085,"5534,987 + -487,4559",5534.987,-4874559,-5314,6124,0.5,"9963,6238 + -2194,2961",9963.6238,-2194.2961,-0.6962,"14817,6551 + -5955,4816",14817.6551,-5955.4816,-0.8797
15,"3,650.00",0.00,"2580,2996 + 226,6183",2580.2996,226.6183,0.9587,"2895,82 + 228,218",2895.82,228.218,0.425,16170,0.1667,"9340,2868 + 2920,6769",9340.2868,2920.6769,0.4961,"15508,7467 + 377,7671",15508.7467,377.7671,0.0486
16,"2,331.75",0.00,"1811,937 + 175,1968",1811.937,175.1968,0.4788,"1278,8505 + 408,4215",1278.8505,408.4215,0.6589,4582.9167,0.0417,"3318,63 + 336,2116",3318.63,336.2116,0.5994,"4567,9901 + 5,747",4567.9901,5.747,0.0054
17,"3,183.00",0.00,"2951,5278 + 39,0704",2951.5278,39.0704,0.6706,"4047,6822 + -322,4638",4047.6822,-3224638,-5438,9350.5833,0.125,"7645,1006 + 582,1073",7645.1006,582.1073,0.2175,"8958,3334 + 183,9889",8958.3334,183.9889,0.0433
18,3422,0.33,"4173,317 + -211,9781",4173.317,-211.9781,-0.7487,"3524,4961 + -44,9517",3524.4961,-449517,-1048,15443,0.5,"16323,1192 + -304,8603",16323.1192,-304.8603,-0.057,"2715,7621 + 8425,0593",2715.7621,8425.0593,0.6373
